#RPLIDAR SCAN DATA
#COUNT=530
#Angule	Distance	Quality
274.6527 174.0 188
275.3119 174.0 188
275.9656 175.0 188
276.6248 175.0 188
277.2949 175.0 188
277.9486 175.0 188
278.6078 176.0 188
279.2615 176.0 188
279.9371 176.0 188
280.5908 177.0 188
281.2500 177.0 188
281.9037 178.0 188
282.5739 178.0 188
283.2330 179.0 188
284.1394 179.0 188
284.5459 179.0 188
285.2161 180.0 188
285.8698 181.0 188
286.5289 181.0 188
287.1826 182.0 188
287.8583 183.0 188
288.5120 183.0 188
289.1711 184.0 188
289.8413 185.0 188
290.4950 186.0 188
291.1542 187.0 188
291.8079 188.0 188
292.4835 188.0 188
293.1372 189.0 188
293.7964 190.0 188
294.4666 191.0 188
295.1202 192.0 188
295.7794 193.0 188
296.4331 194.0 188
297.1088 195.0 188
297.7625 196.0 188
298.4216 197.0 188
299.0918 199.0 188
299.4983 200.0 188
300.4047 201.0 188
301.3110 203.0 188
300.9814 204.0 188
301.8878 206.0 188
303.0469 207.0 188
303.7170 209.0 188
304.3707 210.0 188
304.2938 212.0 188
304.9530 214.0 188
305.4968 216.0 188
306.7767 217.0 188
306.3263 220.0 188
308.3588 221.0 188
309.0289 223.0 188
308.4357 225.0 188
308.7323 227.0 188
310.1385 229.0 188
309.9353 232.0 188
312.3413 234.0 188
313.0115 236.0 188
313.2916 239.0 188
313.3411 241.0 188
313.7640 244.0 188
315.1703 247.0 188
315.5933 250.0 188
314.7473 253.0 188
316.4172 256.0 188
316.4502 258.0 188
317.4994 262.0 188
317.5269 265.0 188
317.9498 268.0 188
318.8562 272.0 188
319.4055 275.0 188
319.4330 280.0 188
320.3558 282.0 188
320.8887 287.0 188
322.0587 291.0 188
322.4817 296.0 188
322.8882 300.0 188
323.9374 304.0 188
324.2175 308.0 188
324.5142 313.0 188
325.5469 317.0 188
325.8435 312.0 188
326.3708 325.0 188
327.2937 327.0 188
328.2495 318.0 188
329.5734 313.0 188
330.4797 310.0 188
331.1554 309.0 188
331.6827 308.0 188
332.8583 304.0 188
333.8855 302.0 188
334.5612 300.0 188
334.7150 298.0 188
335.8905 296.0 188
336.0443 294.0 188
336.4673 293.0 188
337.2473 291.0 188
338.0438 290.0 188
338.8239 288.0 188
339.6204 287.0 188
340.1532 286.0 188
341.3232 283.0 188
341.9824 282.0 188
342.9053 281.0 188
342.9327 280.0 188
343.3557 278.0 188
344.3884 278.0 188
344.6686 276.0 188
345.9650 276.0 188
346.8713 274.0 188
347.5415 274.0 188
348.5742 273.0 188
349.2499 273.0 188
349.5300 272.0 188
350.1837 271.0 188
350.2332 271.0 188
351.5131 270.0 188
351.5625 269.0 188
352.3425 269.0 188
353.6389 267.0 188
354.4189 268.0 188
354.7156 267.0 188
355.7483 267.0 188
355.9021 267.0 188
357.1985 266.0 188
