#RPLIDAR SCAN DATA
#COUNT=410
#Angule	Distance	Quality
147.7606 170.0 188
148.3868 169.0 188
149.0131 167.0 188
149.6228 166.0 188
150.2490 165.0 188
150.8698 164.0 188
151.4795 163.0 188
152.1057 162.0 188
152.7319 161.0 188
153.3417 160.0 188
153.9679 160.0 188
154.5886 159.0 188
155.1984 158.0 188
155.8246 157.0 188
156.4508 157.0 188
157.0605 156.0 188
157.6868 155.0 188
158.3075 155.0 188
158.9172 153.0 188
159.5435 153.0 188
160.1697 153.0 188
160.7794 151.0 188
161.4056 151.0 188
162.0154 151.0 188
162.6361 150.0 188
163.2623 150.0 188
163.8721 149.0 188
164.4983 150.0 188
165.1245 149.0 188
165.7343 148.0 188
166.3550 148.0 188
185.5920 147.0 188
186.2183 147.0 188
187.4487 148.0 188
188.0750 148.0 188
188.7012 148.0 188
189.3274 149.0 188
189.9481 149.0 188
190.5743 150.0 188
191.2006 150.0 188
191.8268 150.0 188
192.4530 151.0 188
193.0737 151.0 188
193.6835 152.0 188
194.3097 152.0 188
194.9359 153.0 188
195.5621 153.0 188
196.1829 154.0 188
196.8091 154.0 188
197.4353 155.0 188
198.0615 155.0 188
198.6823 157.0 188
199.3085 157.0 188
199.9347 158.0 188
200.5444 158.0 188
201.1707 159.0 188
201.7804 160.0 188
202.4011 160.0 188
203.0273 161.0 188
203.6371 162.0 188
204.2633 163.0 188
204.8895 163.0 188
205.4993 165.0 188
206.1200 166.0 188
206.7462 167.0 188
207.3560 167.0 188
207.9822 168.0 188
208.6084 170.0 188
209.2181 171.0 188
209.8389 172.0 188
210.2179 174.0 188
210.8276 174.0 188
211.4484 176.0 188
212.0746 178.0 188
212.6843 178.0 188
213.3105 180.0 188
213.9368 181.0 188
214.5465 182.0 188
215.1672 184.0 188
221.6382 172.0 188
222.2644 169.0 188
223.5114 164.0 188
224.1376 162.0 188
224.7638 159.0 188
225.3900 152.0 188
226.0107 148.0 188
226.6370 148.0 188
227.2632 147.0 188
227.8894 148.0 188
228.5156 148.0 188
229.1364 147.0 188
229.7626 145.0 188
230.3888 143.0 188
231.0150 142.0 188
231.6357 140.0 188
232.2620 139.0 188
232.8882 138.0 188
233.5144 137.0 188
234.1406 135.0 188
234.7614 134.0 188
235.3876 133.0 188
236.0138 133.0 188
236.6400 132.0 188
237.2607 131.0 188
237.8870 131.0 188
238.5132 131.0 188
239.1394 130.0 188
239.7766 129.0 188
240.3864 129.0 188
241.0126 129.0 188
241.6388 128.0 188
242.2650 128.0 188
242.8857 127.0 188
243.5120 127.0 188
244.1382 127.0 188
244.7644 126.0 188
245.3741 126.0 188
245.9949 126.0 188
246.6211 126.0 188
247.2473 126.0 188
247.8735 126.0 188
248.4998 126.0 188
249.1205 125.0 188
249.7467 125.0 188
250.3564 125.0 188
250.9827 125.0 188
251.6089 125.0 188
252.2296 125.0 188
252.8558 124.0 188
253.4821 125.0 188
254.1083 124.0 188
254.7290 124.0 188
255.3387 124.0 188
255.9650 124.0 188
256.5912 124.0 188
257.2174 124.0 188
257.8436 124.0 188
258.4644 124.0 188
259.0906 124.0 188
259.7168 124.0 188
260.3265 124.0 188
260.9528 124.0 188
261.5735 124.0 188
262.1997 124.0 188
262.8259 124.0 188
263.4521 124.0 188
264.0729 124.0 188
264.6991 124.0 188
265.3088 124.0 188
265.9351 124.0 188
266.5613 124.0 188
267.1875 124.0 188
267.8082 124.0 188
268.4344 124.0 188
269.0607 124.0 188
269.6869 124.0 188
270.2966 124.0 188
270.9174 124.0 188
271.5436 124.0 188
272.1698 124.0 188
272.7960 124.0 188
273.4167 124.0 188
274.0430 124.0 188
274.6692 124.0 188
275.2789 124.0 188
275.9052 124.0 188
276.5259 125.0 188
277.1521 125.0 188
277.7783 125.0 188
278.4045 125.0 188
279.0308 125.0 188
279.6515 125.0 188
